name,date,area,Q_cms,Ca,Mg,Na,K,Cl,SO4,NO3,X_pyrite,X_pyrite_sd,X_rain,X_rain_sd,X_fertilizer,X_fertilizer_sd
SH,2008-04-10T00:00:00Z,0.08,7.064814930555555e-4,149.7,82.27,23.49,23.53,66.08,99.33,0.23,0.23407216948523965,0.18186640614540242,0.7486366373479492,0.18108244765962925,NA,NA
SH,2008-04-11T00:00:00Z,0.08,7.909280242091049e-4,154.69,82.27,23.49,23.79,71.88,118.59,0.23,0.25398211131768283,0.2627192464030639,0.7377610215284292,0.2585662390220538,NA,NA
SH,2008-04-12T00:00:00Z,0.08,7.423410254308127e-4,157.19,86.38,23.49,23.79,74.1,109.42,0.02,0.17877261731965777,0.11566386843313743,0.8132783653842567,0.11562713754760323,NA,NA
SH,2008-04-13T00:00:00Z,0.08,0.001138925058272248,144.71,86.38,23.05,23.27,70.78,104.41,0.24,0.1557291968067641,0.08554439289887679,0.8343413437779622,0.08971281981010769,NA,NA
SH,2008-04-14T00:00:00Z,0.08,0.001142960709233539,139.72,86.38,24.36,23.53,63.77,97.56,0.09,0.2749075244935797,0.191617395820966,0.7169764966369798,0.18118404878803873,NA,NA
SH,2008-04-15T00:00:00Z,0.08,0.0015795339703896607,144.71,86.38,25.66,24.04,63.25,141.8,0.12,0.1285843123281547,0.08524807761971075,0.8480765402554102,0.05571885404294501,NA,NA
SH,2008-04-16T00:00:00Z,0.08,0.001466096802340535,144.71,86.38,23.92,23.79,64.77,102.51,0.02,0.2675009352695287,0.1914077304023518,0.7220513362415742,0.19608522674682816,NA,NA
SH,2008-04-17T00:00:00Z,0.08,9.262538369663066e-4,147.21,86.38,23.49,23.79,66.77,106.04,0.07,0.22223111564600395,0.13084009853461778,0.7616475688801635,0.1358552189261703,NA,NA
SH,2008-04-18T00:00:00Z,0.08,7.989735998585391e-4,154.69,94.61,34.36,25.32,93.03,145.62,4.58,0.10392060751547726,0.08506546660833547,0.8881337838447083,0.10065506762677634,NA,NA
SH,2008-04-24T00:00:00Z,0.08,0.0016907544053819446,51.3,74.17,19.55,24.73,24.76,102.97,NA,0.17789918376150776,0.04586158172179186,0.8076675795881323,0.06506109146862848,NA,NA
SH,2008-04-24T00:00:00Z,0.08,0.0016907544053819446,50.9,74.13,20.56,24.04,25.34,94.3,NA,0.1082476007478907,0.03650682277074315,0.9105248601337245,0.04715291828851935,NA,NA
SH,2008-04-24T00:00:00Z,0.08,0.0016907544053819446,124.43,80.21,22.59,23.73,32.17,102.21,NA,0.13300995937685695,0.044866540076976304,0.883748096394886,0.04578045546827697,NA,NA
SH,2008-04-30T00:00:00Z,0.08,0.0041573310474537035,50.55,74.29,18.77,26.42,23.09,122.27,NA,0.09619819013209595,NA,0.9077527639533366,NA,NA,NA
SH,2008-04-30T00:00:00Z,0.08,0.0041573310474537035,46.88,68.74,21.19,23.43,24.73,92.64,NA,0.12063297843708781,0.02983009920389043,0.8883997513976746,0.0044060536226044325,NA,NA
SH,2008-05-02T00:00:00Z,0.08,0.0016193391533243313,147.21,82.27,22.18,24.3,71.04,109.56,0.19,0.24019348135202917,0.2142560647215497,0.763343092670228,0.21570639883422968,NA,NA
SH,2008-05-03T00:00:00Z,0.08,0.0012982309334812242,159.68,86.38,22.62,24.55,72.71,104.05,1.68,0.19153564458445818,0.14632533068345677,0.7914477070589128,0.14651691856906923,NA,NA
SH,2008-05-04T00:00:00Z,0.08,0.0016707304518711417,137.23,82.27,22.18,24.55,69.37,116.78,0.61,0.16489136478404456,0.12446854719708847,0.8298711693571968,0.10623867581527403,NA,NA
SH,2008-05-07T00:00:00Z,0.08,0.0011212585079089506,146.36,83.09,24.75,22.15,38.07,125.63,NA,0.1411895862737834,0.029994389035299454,0.8665351671171035,0.06247877059056397,NA,NA
SH,2008-05-08T00:00:00Z,0.08,8.699949933288322e-4,161.35,88.56,28.5,25.01,35.24,133.36,NA,0.12290633453274005,0.015822618862189924,0.8871435351797972,0.050006495283182475,NA,NA
SH,2008-05-09T00:00:00Z,0.08,8.535951985275207e-4,167.81,90.54,28.27,22.74,37.37,121.14,NA,0.12395351697699959,0.052119620996051275,0.8460274905574756,0.03976182378257136,NA,NA
SH,2008-05-10T00:00:00Z,0.08,7.065256995081019e-4,172.88,92.02,27.41,23.76,34.13,130.08,NA,0.13182635488077257,0.01697173894859099,0.8610381861155298,0.0485348517873489,NA,NA
