site,date,Ca,Mg,Na,K,Cl,NO3,SO4,name,river,Ca_SO4,Mg_SO4,Na_SO4,K_SO4,Cl_SO4,NO3_SO4
21PA_WQX-WQN0201,2016-02-26,0.44163880433155345,0.2156346430775561,0.4067026510792693,0.06327640843719547,0.4390037514455758,0.09299121134885448,0.17830522590047887,S2,SUSQUEHANNA RIVER,2.476869660444245,1.2093568317392596,2.280935115756341,0.3548769146705393,2.462091333714503,0.5215282439380524
21PA_WQX-WQN0302,2015-06-12,0.7632616398023853,0.2579304669821025,0.8673423382375004,0.04910699442175235,1.0238343722675092,0.027094176358457022,0.16978971476160734,S6,SUSQUEHANNA RIVER,4.495334955206445,1.5191171464316837,5.1083326187059646,0.28922243311793566,6.030014089516672,0.1595748976697352
21PA_WQX-WQN0302,2014-10-20,0.4566096112580468,0.16140711787698006,0.5219713168931798,0.06289276004327553,0.5748173638338081,0.02670150713587069,0.12662919008952736,S6,SUSQUEHANNA RIVER,3.6058795838086137,1.2746438460426428,4.122045766257716,0.49666873805960604,4.539374874208781,0.21086375990395748
21PA_WQX-WQN0201,2015-10-04,0.8937571735116522,0.49166838099156557,0.6141862495443081,0.07598795855574282,0.6751755845767636,0.05222500660398238,0.7550593379138039,S2,SUSQUEHANNA RIVER,1.1836913056145553,0.6511652214646122,0.8134277913061483,0.10063839322309985,0.8942020191979142,0.06916675813622516
21PA_WQX-WQN0214,2016-11-17,0.8958780378262388,0.47241308372762814,0.7636875342244632,0.057138034134476434,0.8451753025131864,0.044407319354309006,0.37354778263585253,J1,JUNIATA RIVER,2.3982956919317924,1.264665742074965,2.0444172599170067,0.15296044252035246,2.2625627611798538,0.11887989011997112
21PA_WQX-WQN0202,2018-08-23,0.580592843954289,0.256696153054927,0.4502002608203676,0.05892839330610281,0.42937974219389047,0.06025687706597557,0.222491151363731,S3,SUSQUEHANNA RIVER,2.6095098182360044,1.1537364586480894,2.0234524297300043,0.2648572446360621,1.9298733435557431,0.2708281956232361
21PA_WQX-WQN0301,2017-05-10,0.3496681471131294,0.1333881917300967,0.41270532122354076,0.038313686272804695,0.3614362677347474,0.026915690348190507,0.1062169477409952,S5,SUSQUEHANNA RIVER,3.292018407135723,1.2558089322558696,3.8854940760480368,0.3607116104129704,3.4028116550297787,0.2534029730718971
21PA_WQX-WQN0301,2016-02-07,0.5464344528170068,0.19860111088253443,0.7394593655986713,0.04721432901174731,0.8087608947056666,0.050297357693104006,0.13211534457630647,S5,SUSQUEHANNA RIVER,4.136040779891393,1.5032403050489527,5.597074041400076,0.35737203095646103,6.121627259114832,0.3807079174217612
21PA_WQX-WQN0202,2016-01-14,0.3867458456010779,0.17531372145649043,0.317663043939241,0.040052892325241764,0.341268721969932,0.05236779541219559,0.1887778471788466,S3,SUSQUEHANNA RIVER,2.0486823606727436,0.9286774061492482,1.6827347524431169,0.2121694516798678,1.8077794988657583,0.2774043469336885
21PA_WQX-WQN0202,2017-03-28,0.43396626578172554,0.1892820407323596,0.6377619540239835,0.03419586017806401,0.6665543113417765,0.062470103593280354,0.22009941703102226,S3,SUSQUEHANNA RIVER,1.9716829405348197,0.8599842893072314,2.8976085562920555,0.15536551908833188,3.028423792907311,0.2838267562720323
21PA_WQX-WQN0301,2017-08-14,0.67954987773841,0.29170952478913803,0.8926144494970786,0.04291746699984399,0.8628042760838291,0.030128438532987786,0.2879346241932126,S5,SUSQUEHANNA RIVER,2.3600839240591367,1.013110269758292,3.1000594388332683,0.1490528175279299,2.9965283907810343,0.10463638618456222
21PA_WQX-WQN0214,2018-06-14,0.6066170966615101,0.26303229788109445,0.36355302221609975,0.045833194793635526,0.37436324147462835,0.10519965445108412,0.17233708099104728,J1,JUNIATA RIVER,3.519945290781751,1.5262664098085699,2.1095461297443348,0.26595085938595253,2.17227331066421,0.6104295944095115
