Cl_SO4,Ca_SO4,K_SO4,Mg_SO4,Na_SO4
0.22323882327109767,0.07473713583909201,0.10419633681544263,0.12524953582546408,0.11699952849114816
0.193965844860752,0.0695245772018622,0.09824729590974704,0.11904712685069446,0.11936750927815028
0.21285260882886078,0.07342705612980077,0.10916790585286602,0.13065972147230112,0.1310113559875003
0.25923289608119426,0.07892281827301362,0.11664669524619753,0.13707361640157975,0.1587755195539255
0.18482159805835266,0.07390475376307735,0.10476731400340604,0.1217234294902222,0.11825390899323039
0.22240915580096987,0.085737440913006,0.11681507900249545,0.13426295865202054,0.14046956008973527
0.23176817585466625,0.0881778864061636,0.10906478391522503,0.13606124485175974,0.1331289903110595
0.2268059506852498,0.08914599973949544,0.11633996391267469,0.14192176294084902,0.13636692165916678
0.21989029348228936,0.08213615270045704,0.11980707847448277,0.1328752725694104,0.144197735821108
0.20820554492495172,0.0775301803361283,0.11506818424949639,0.13225514202428593,0.13092790573477617
0.20859544374180805,0.07385356209838607,0.11040134454549917,0.12826930237013526,0.12698206566742562
0.20500912238781405,0.07586524107767478,0.11259712670099904,0.12941499929362374,0.12572624360749288
0.1869303042230027,0.079657093714967,0.11542356938822905,0.13119771241364958,0.1347833241661916
0.2231156701789729,0.0861204855138121,0.12062942452624643,0.137115015862891,0.13833012208172402
0.20328272504297698,0.07453826421808911,0.10215464931588646,0.11484639957552038,0.11586416246207643
0.2271234476741349,0.0820905769854831,0.11071577282371572,0.13068942454688307,0.12557421884826947
0.22735731776277263,0.0791993381721169,0.11349220969268402,0.1369604140783445,0.1291347163352864
0.21922248674541536,0.08183741257702432,0.12281796574612605,0.1465768433161126,0.1460560903598067
0.14959765074784273,0.05831595838188099,0.08633164113217918,0.10084652210098694,0.10585091100100524
0.21190838324249114,0.08066728025120208,0.11817890803210393,0.1394989448241142,0.13649260444534533
0.2111796820520356,0.07932913125876176,0.11424481198011102,0.1348551191429644,0.12957686746866884
0.2142606749907179,0.060702463628781685,0.08854304206444058,0.10755731994579502,0.13802136156567452
0.08064554888212991,0.028468970148919175,0.12229963697210675,0.11924536923344739,0.1110580971066862
0.09012294859798349,0.030844035497493826,0.12981788666535535,0.13013863997553607,0.12753388703224014
0.10555969995933179,0.06956596557430159,0.11822684882428026,0.12991493622441144,0.12928169026284586
0.06333510504910028,0.023624702725081343,0.11003343359925409,0.10058527382672086,0.08979632008188106
0.08952947637752337,0.028917061677107565,0.12879099738906782,0.12283862254569533,0.13379706576391157
0.057254774943027144,0.04017504270260026,0.06956535910483032,0.07614874970180667,0.08421542460445829
0.21746601873886823,0.07678040415004653,0.11294474111648346,0.12431210775521143,0.1184196292756677
0.23436488118279505,0.08769473984775993,0.12014928098888962,0.13743427999923064,0.1271641506703753
0.19922493696686913,0.06714995053610749,0.107052001086607,0.11662643025912796,0.1110982581216146
0.045127978928431484,0.03684540605652765,0.05561767339996469,0.06589830382913539,0.06831923147087432
0.10163188754869909,0.06657238953622105,0.08978259114258072,0.10949123530445762,0.11523808227998635
0.08862388564719396,0.06913667475618755,0.09549922983811121,0.10993499916698332,0.12500674649609123
